PrimaryKey,RunID,StockID,Age,TimeStep,Cohort,MatureCohort,StartCohort,WorkingCohort,MidCohort,Shelton.TimeStep,Year.run,Season.run,Year.Season.run,Species,StockVersion,ProductionRegionNumber,ManagementUnitNumber,StockName,StockLongName
3409153,31,11,4,4,16.667046,0,22.359393,19.629311,16.667046,3,1991,.Fall,1991.Fall,CHINOOK,5,2,9,U-SkagSpY,UnMarked Skagit Spring Year
3409155,31,11,5,2,573.889515,293.558178,900.670455,884.998789,867.447693,1,1991,.Spr,1991.Spr,CHINOOK,5,2,9,U-SkagSpY,UnMarked Skagit Spring Year
3409156,31,11,5,3,0,558.968387,573.889515,558.968387,558.968387,2,1991,.Sum,1991.Sum,CHINOOK,5,2,9,U-SkagSpY,UnMarked Skagit Spring Year
3409157,31,11,5,4,133.031266,0,156.327904,147.010761,133.031266,3,1991,.Fall,1991.Fall,CHINOOK,5,2,9,U-SkagSpY,UnMarked Skagit Spring Year
3409159,31,12,4,2,372.175811,207.057303,623.836621,601.066584,579.233114,1,1991,.Spr,1991.Spr,CHINOOK,5,2,10,M-SkagSpY,Marked Skagit Spring Year
3409160,31,12,4,3,104.221997,212.670066,372.175811,351.966665,316.892062,2,1991,.Sum,1991.Sum,CHINOOK,5,2,10,M-SkagSpY,Marked Skagit Spring Year
3409161,31,12,4,4,569.515176,0,764.023418,670.736159,569.515176,3,1991,.Fall,1991.Fall,CHINOOK,5,2,10,M-SkagSpY,Marked Skagit Spring Year
3409163,31,12,5,2,136.553175,69.850207,214.308516,210.579548,206.403382,1,1991,.Spr,1991.Spr,CHINOOK,5,2,10,M-SkagSpY,Marked Skagit Spring Year
3409164,31,12,5,3,0,133.002793,136.553175,133.002793,133.002793,2,1991,.Sum,1991.Sum,CHINOOK,5,2,10,M-SkagSpY,Marked Skagit Spring Year
3409165,31,12,5,4,88.690399,0,104.221997,98.010366,88.690399,3,1991,.Fall,1991.Fall,CHINOOK,5,2,10,M-SkagSpY,Marked Skagit Spring Year
3409167,31,13,2,2,11677.27706,0,12737.78982,11698.38618,11677.27706,1,1991,.Spr,1991.Spr,CHINOOK,5,3,1,U-Snoh FF,UnMarked Snohomish Fall Fing
3409168,31,13,2,3,9974.324618,116.325009,11677.27706,10277.17154,10090.64963,2,1991,.Sum,1991.Sum,CHINOOK,5,3,1,U-Snoh FF,UnMarked Snohomish Fall Fing
3409169,31,13,2,4,12731.88779,0,17168.64773,12744.28721,12731.88779,3,1991,.Fall,1991.Fall,CHINOOK,5,3,1,U-Snoh FF,UnMarked Snohomish Fall Fing
3409171,31,13,3,2,7623.580219,0,8168.163519,7696.860484,7623.580219,1,1991,.Spr,1991.Spr,CHINOOK,5,3,1,U-Snoh FF,UnMarked Snohomish Fall Fing
3409172,31,13,3,3,4952.665382,868.336281,7623.580219,6973.288826,5821.001664,2,1991,.Sum,1991.Sum,CHINOOK,5,3,1,U-Snoh FF,UnMarked Snohomish Fall Fing
3409173,31,13,3,4,8056.27433,0,9974.324618,8101.146455,8056.27433,3,1991,.Fall,1991.Fall,CHINOOK,5,3,1,U-Snoh FF,UnMarked Snohomish Fall Fing
3409175,31,13,4,2,1732.622104,0,1953.1484,1881.858483,1732.622104,1,1991,.Spr,1991.Spr,CHINOOK,5,3,1,U-Snoh FF,UnMarked Snohomish Fall Fing
3409176,31,13,4,3,185.445792,1390.710257,1732.622104,1638.540724,1576.156049,2,1991,.Sum,1991.Sum,CHINOOK,5,3,1,U-Snoh FF,UnMarked Snohomish Fall Fing
3409177,31,13,4,4,3034.481407,0,4952.665382,4347.944939,3034.481407,3,1991,.Fall,1991.Fall,CHINOOK,5,3,1,U-Snoh FF,UnMarked Snohomish Fall Fing
3409179,31,13,5,2,227.361633,0,231.38778,227.361633,227.361633,1,1991,.Spr,1991.Spr,CHINOOK,5,3,1,U-Snoh FF,UnMarked Snohomish Fall Fing
3409180,31,13,5,3,0,221.45023,227.361633,221.45023,221.45023,2,1991,.Sum,1991.Sum,CHINOOK,5,3,1,U-Snoh FF,UnMarked Snohomish Fall Fing
3409181,31,13,5,4,129.008094,0,185.445792,174.393223,129.008094,3,1991,.Fall,1991.Fall,CHINOOK,5,3,1,U-Snoh FF,UnMarked Snohomish Fall Fing
3409183,31,15,2,2,1331.411134,0,1461.350634,1342.104423,1331.411134,1,1991,.Spr,1991.Spr,CHINOOK,5,3,5,U-SnohFYr,UnMarked Snohomish Fall Year
3409184,31,15,2,3,1129.453394,30.732155,1331.411134,1171.774939,1160.185549,2,1991,.Sum,1991.Sum,CHINOOK,5,3,5,U-SnohFYr,UnMarked Snohomish Fall Year
3409185,31,15,2,4,1461.312044,0,1968.679286,1461.350634,1461.312044,3,1991,.Fall,1991.Fall,CHINOOK,5,3,5,U-SnohFYr,UnMarked Snohomish Fall Year
3409187,31,15,3,2,795.207595,0,858.581051,809.040925,795.207595,1,1991,.Spr,1991.Spr,CHINOOK,5,3,5,U-SnohFYr,UnMarked Snohomish Fall Year
3409188,31,15,3,3,526.128259,84.753773,795.207595,727.376387,610.882033,2,1991,.Sum,1991.Sum,CHINOOK,5,3,5,U-SnohFYr,UnMarked Snohomish Fall Year
3409189,31,15,3,4,878.942942,0,1129.453394,917.342047,878.942942,3,1991,.Fall,1991.Fall,CHINOOK,5,3,5,U-SnohFYr,UnMarked Snohomish Fall Year
3409191,31,15,4,2,910.55015,0,1083.044786,1043.513651,910.55015,1,1991,.Spr,1991.Spr,CHINOOK,5,3,5,U-SnohFYr,UnMarked Snohomish Fall Year
3409192,31,15,4,3,150.301002,634.347563,910.55015,861.107277,784.648565,2,1991,.Sum,1991.Sum,CHINOOK,5,3,5,U-SnohFYr,UnMarked Snohomish Fall Year
3409193,31,15,4,4,316.984432,0,526.128259,461.887999,316.984432,3,1991,.Fall,1991.Fall,CHINOOK,5,3,5,U-SnohFYr,UnMarked Snohomish Fall Year
